||NEARLY_SORTED||
       n	         bubble	      insertion	          merge	           heap	          quick	       counting	
    1000	     0.06180453	     0.00699544	     0.00401187	     0.00500202	     0.00696087	     0.00000000	
    2000	     0.24334788	     0.02268624	     0.00900865	     0.00899100	     0.03318000	     0.00100064	
    3000	     0.54179358	     0.05299544	     0.01299620	     0.01597500	     0.02069950	     0.00100040	
    4000	     0.96503997	     0.08778524	     0.01800179	     0.02299929	     0.02676845	     0.00200343	
    5000	     4.40025711	     0.13034821	     0.02200007	     0.02700019	     0.04727554	     0.00250602	
    6000	     2.21060824	     0.21176052	     0.02800083	     0.03678799	     0.07843685	     0.00259209	
    7000	     5.41960311	     0.28679085	     0.03200006	     0.04456234	     0.05107164	     0.00400257	
    8000	     5.58442259	     0.36712956	     0.03880787	     0.05201125	     0.05906224	     0.00499153	
    9000	    11.67997146	     1.17179894	     0.12020659	     0.13455439	     0.24644256	     0.01119709	
   10000	     8.98887038	     0.57687330	     0.04769230	     0.06279826	     0.07401204	     0.00408411	
