||REVERSE||
       n	         bubble	      insertion	          merge	           heap	          quick	       counting	
    1000	     0.14638042	     0.08577347	     0.00400019	     0.00399852	     0.08981705	     0.00099230	
    2000	     0.61107779	     0.33844185	     0.00675225	     0.00891042	     0.31345844	     0.00101256	
    3000	     1.60297465	     0.77833533	     0.01104975	     0.01582336	     0.72885251	     0.00100899	
    4000	     2.48801398	     1.41510534	     0.01599836	     0.02012444	     1.87447548	     0.00607300	
    5000	     6.77574706	     2.22929955	     0.02155280	     0.02829027	     3.94505858	     0.00700068	
    6000	     8.46406960	     6.05644536	     0.03499484	     0.03199935	     2.87299752	     0.00305295	
    7000	    10.50309801	     7.25701380	     0.03005385	     0.03855133	     6.88669443	     0.00300074	
    8000	    13.06905723	     8.60330367	     0.03325438	     0.04952693	     8.12409449	     0.00297713	
    9000	    17.54746938	    10.99714732	     0.03799987	     0.05670547	     6.67479992	     0.00401020	
   10000	    24.09313583	    11.62353420	     0.04200172	     0.05750632	    11.00420332	     0.00499964	
